"excluded_item","reason"
"legacy monolithic R Markdown workflow","removed; stage-specific publication modules supersede it"
"all-flower continuous a-star as one biological response","mixes pigment absence with conditional pigment intensity"
"white-flower a-star as anthocyanin amount","primarily optical and background variation"
"natural-model horticultural tiers as final evidence","superseded by fixed local-isolate and held-out human-context workflow"
"random-forest or extreme-tail inference","exploratory development paths not retained in final inference"
"matched-landscape and early-dark horticultural diagnostics","small or weakly supported and superseded by stage 05 design"
"model residual as a primary response","avoids second-stage residual bias and unclear estimands"
"individual Bombus species coefficients","species predictions are correlated habitat support, not independent effects"
"causal pollinator-selection claim","observational habitat fingerprints cannot establish causal selection"
"horticultural origin or introgression claim","requires provenance and genetic evidence"
